320,180
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
161,0.24512,0.0161184
161,0.280221,0.0512208
161,0.315323,0.0863235
161,0.350426,0.121425
161,0.385528,0.156528
161,0.42063,0.191629
161,0.455732,0.226731
161,0.490835,0.261833
161,0.525937,0.296935
161,0.561038,0.332038
161,0.59614,0.367139
545,0.597759,0.0334832
545,0.562656,0.103688
545,0.527554,0.173892
545,0.492452,0.244095
545,0.457351,0.314298
545,0.422249,0.384503
545,0.387148,0.454706
545,0.352046,0.52491
545,0.316944,0.595114
545,0.281843,0.665317
545,0.24674,0.735521
172,0.211638,0.0173631
172,0.176536,0.0524648
172,0.141434,0.0875672
172,0.106332,0.122668
172,0.0712306,0.15777
172,0.0361289,0.192872
172,0.00102741,0.227974
555,0.736924,0.229
555,0.701822,0.229001
555,0.66672,0.229001
555,0.631618,0.229001
555,0.596516,0.229002
555,0.561414,0.229001
555,0.526312,0.229002
555,0.49121,0.229
555,0.456108,0.229001
555,0.421005,0.229002
555,0.385904,0.229002
555,0.350802,0.229001
555,0.3157,0.229002
555,0.280599,0.229001
555,0.245496,0.229002
555,0.210394,0.229001
555,0.175293,0.229001
555,0.14019,0.229002
555,0.105089,0.229001
555,0.0699863,0.229001
555,0.0348837,0.229002
70,0.000217199,0.771216
70,0.0353191,0.806319
70,0.0704215,0.841421
70,0.105524,0.876522
454,0.0883754,0.0522507
454,0.0532739,0.122453
454,0.018172,0.192657
176,0.245932,0.0169297
176,0.281033,0.052032
176,0.316135,0.0871342
176,0.351236,0.122236
176,0.386338,0.157338
176,0.421441,0.192439
176,0.456542,0.227542
176,0.491644,0.262644
176,0.526746,0.297745
176,0.561848,0.332846
176,0.596949,0.367949
560,0.596949,0.035102
560,0.561848,0.105305
560,0.526746,0.175509
560,0.491643,0.245713
560,0.456542,0.315917
560,0.421441,0.386121
560,0.386338,0.456324
560,0.351236,0.526528
560,0.316135,0.596731
560,0.281033,0.666935
560,0.245931,0.737139
358,0.018172,0.789171
358,0.0532739,0.824273
358,0.0883757,0.859374
742,0.105524,0.0179542
742,0.0704213,0.0881584
742,0.0353191,0.158362
742,0.000217199,0.228567
357,0.263886,0.0348842
357,0.298988,0.0699864
357,0.33409,0.10509
357,0.369193,0.14019
357,0.404294,0.175293
357,0.439397,0.210395
357,0.474498,0.245497
357,0.509601,0.280599
357,0.544703,0.315701
357,0.579804,0.350804
741,0.614095,0.000811782
741,0.578993,0.0710159
741,0.543891,0.14122
741,0.508789,0.211423
741,0.473687,0.281627
741,0.438585,0.35183
741,0.403484,0.422034
741,0.368381,0.492238
741,0.333279,0.562442
741,0.298178,0.632646
741,0.263075,0.702849
8,0.00102741,0.772026
8,0.0361293,0.807128
8,0.0712312,0.842229
8,0.106332,0.877332
392,0.0875661,0.0538677
392,0.0524647,0.124072
392,0.0173626,0.194276
143,0.24674,0.0177389
143,0.281843,0.0528404
143,0.316944,0.0879424
143,0.352046,0.123045
143,0.387148,0.158146
143,0.422249,0.193249
143,0.457351,0.228351
143,0.492453,0.263453
143,0.527555,0.298554
143,0.562657,0.333656
143,0.597759,0.368758
527,0.59614,0.0367206
527,0.561038,0.106924
527,0.525935,0.177129
527,0.490834,0.247333
527,0.455732,0.317537
527,0.42063,0.387741
527,0.385528,0.457945
527,0.350426,0.528149
527,0.315323,0.598354
527,0.280221,0.668558
527,0.24512,0.738762
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
