320,180
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
9834,0.166832,0.251924
9834,0.433372,0.397517
9832,0.533216,0.0897919
9832,0.516864,0.243943
9832,0.500998,0.393495
9771,0.0159733,0.50897
9771,0.0996225,0.4956
9771,0.181965,0.482439
9771,0.263029,0.469481
9771,0.342843,0.456723
9771,0.421435,0.444161
9771,0.498838,0.431789
9771,0.575076,0.419603
9772,0.60247,0.0406196
9772,0.625209,0.0844734
9772,0.647692,0.127836
9772,0.669925,0.170715
9772,0.691911,0.21312
9772,0.713655,0.255056
9789,0.0259533,0.26134
9789,0.0771219,0.233105
9789,0.127942,0.205064
9789,0.178416,0.177213
9789,0.228548,0.14955
9789,0.278342,0.122074
9789,0.3278,0.0947835
9789,0.376927,0.0676755
9789,0.425726,0.040749
9789,0.474199,0.0140014
9788,0.0119036,0.510448
9788,0.0369012,0.533283
9788,0.0617344,0.555967
9788,0.0864041,0.578502
9788,0.110913,0.60089
9788,0.135261,0.623131
9788,0.15945,0.645227
9788,0.183483,0.66718
9788,0.20736,0.688992
9788,0.231083,0.710663
9788,0.254654,0.732194
9790,0.134243,0.613497
9492,0.357074,0.072587
9492,0.288855,0.171852
9492,0.221208,0.270285
9492,0.154128,0.367894
9492,0.0876042,0.464693
9492,0.0216309,0.560691
9493,0.607497,0.0483987
9493,0.630211,0.120109
9493,0.65274,0.191232
9493,0.675084,0.261775
9420,0.643418,0.056345
9420,0.49464,0.235257
9420,0.345403,0.414722
9420,0.195701,0.594745
9420,0.0455379,0.775323
9421,0.848924,0.107546
11612,0.0204138,0.880859
11611,0.769354,0.142197
11611,0.635057,0.307266
11611,0.49832,0.475333
11610,0.362407,0.00568452
11610,0.240564,0.0387845
11610,0.117299,0.0722702
11609,0.098739,0.0072407
11609,0.00683904,0.130544
5931,0.668876,0.100189
5931,0.702525,0.173523
5931,0.73651,0.24759
7950,0.290882,0.153015
7950,0.319638,0.170999
7950,0.34855,0.189082
7950,0.377618,0.207263
7950,0.406846,0.225542
7950,0.436233,0.243922
7950,0.465781,0.262403
7950,0.495493,0.280985
7950,0.525367,0.299669
7950,0.555407,0.318457
7950,0.585613,0.33735
7950,0.615987,0.356346
7949,0.354587,0.628803
7949,0.326469,0.619269
7949,0.298273,0.609709
7949,0.269999,0.600123
7949,0.241646,0.590509
7949,0.213214,0.580869
7949,0.184702,0.571202
7949,0.15611,0.561508
7949,0.127438,0.551787
7949,0.0986863,0.542038
7949,0.0698535,0.532262
7949,0.0409393,0.522458
7949,0.0119431,0.512627
7951,0.485595,0.0175434
7951,0.446488,0.047395
7951,0.407276,0.0773265
7951,0.367961,0.107337
7951,0.328541,0.137427
7951,0.289016,0.167598
7951,0.249386,0.197848
7951,0.20965,0.22818
7951,0.169808,0.258592
7951,0.12986,0.289086
7951,0.0898042,0.319662
7951,0.0496417,0.35032
7951,0.00937092,0.381059
7953,0.359874,0.0307802
7953,0.32299,0.0708433
7953,0.286139,0.110871
7953,0.249321,0.150861
7953,0.212536,0.190817
7953,0.175783,0.230737
7953,0.139064,0.270621
7953,0.102377,0.31047
7953,0.0657225,0.350283
7953,0.0291011,0.39006
7952,0.42237,0.00743137
7952,0.425789,0.0437107
7952,0.429205,0.0799544
7952,0.432617,0.116163
7952,0.436026,0.152338
7952,0.439432,0.188477
7952,0.442835,0.224582
7952,0.446234,0.260651
7952,0.44963,0.296686
7952,0.453024,0.332685
7952,0.456413,0.368651
7952,0.459799,0.404582
7952,0.463182,0.440478
7952,0.466562,0.47634
7952,0.469938,0.512168
7955,0.458204,0.0216593
7955,0.43385,0.061394
7955,0.409602,0.100955
7955,0.38546,0.140343
7955,0.361423,0.17956
7955,0.337491,0.218606
7955,0.313662,0.257483
7955,0.289937,0.296192
7955,0.266314,0.334734
7955,0.242793,0.373109
7955,0.219373,0.41132
7955,0.196053,0.449367
7955,0.172833,0.487251
7955,0.149712,0.524973
7955,0.12669,0.562534
7955,0.103766,0.599936
7955,0.0809386,0.637179
7955,0.0582084,0.674264
7955,0.035574,0.711193
7955,0.0130351,0.747965
7954,0.775475,0.00903824
7954,0.7903,0.0305054
7954,0.80506,0.0518773
7954,0.819755,0.0731554
7954,0.834385,0.0943407
5798,0.263529,0.720546
5798,0.297514,0.57851
5798,0.331162,0.437885
11604,0.130508,0.00686576
11604,0.00720328,0.0987669
11603,0.0722603,0.117334
11603,0.038776,0.240595
11603,0.00567722,0.362434
11602,0.475305,0.498343
11602,0.307247,0.635072
11602,0.142187,0.769362
11635,0.880859,0.0204143
9457,0.0435306,0.107546
9411,0.0455402,0.17914
9411,0.195712,0.209556
9411,0.345423,0.239879
9411,0.494668,0.270108
9411,0.643453,0.300244
9517,0.0631623,0.261759
9517,0.156051,0.191215
9517,0.249702,0.120092
9517,0.344126,0.0483825
9483,0.0216438,0.417684
9483,0.087615,0.447708
9483,0.154137,0.477982
9483,0.221215,0.50851
9483,0.288859,0.539295
9483,0.357075,0.57034
9805,0.613497,0.134242
9683,0.254654,0.0131526
9683,0.231083,0.0582545
9683,0.20736,0.103648
9683,0.183483,0.149337
9683,0.15945,0.195323
9683,0.135261,0.241609
9683,0.110912,0.288198
9683,0.0864041,0.335094
9683,0.0617344,0.382299
9683,0.0369012,0.429816
9683,0.0119029,0.47765
9682,0.511799,0.0140016
9682,0.533525,0.0407491
9682,0.555397,0.0676754
9682,0.577416,0.0947833
9682,0.599584,0.122074
9682,0.621902,0.149551
9682,0.644372,0.177213
9682,0.666994,0.205064
9682,0.689772,0.233106
9682,0.712707,0.261341
9681,0.713655,0.0312894
9681,0.691911,0.0949689
9681,0.669925,0.15936
9681,0.647692,0.224473
9681,0.625208,0.290319
9681,0.60247,0.35691
9700,0.00532019,0.419604
9700,0.0693721,0.43179
9700,0.134404,0.444161
9700,0.200436,0.456723
9700,0.267492,0.469481
9700,0.335597,0.482438
9700,0.404778,0.495599
9700,0.475056,0.508971
9699,0.500999,0.105508
9699,0.516864,0.239196
9699,0.533216,0.376992
9714,0.169116,0.397512
9714,0.581249,0.251922
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
